review_id,review_text,sentiment
1,"It is okay, nothing special",neutral
2,Good value for money and easy to use,positive
3,This product is excellent and works perfectly,positive
4,Not bad but could be better,neutral
5,This is a wonderful product,positive
6,Excellent design and outstanding performance,positive
7,Excellent design and outstanding performance,positive
8,"I love this product, highly recommended",positive
9,Not bad but could be better,neutral
10,Good value for money and easy to use,positive
11,Average product with average performance,neutral
12,Not bad but could be better,neutral
13,I have mixed feelings about this item,neutral
14,"Not worth the price, very disappointing",negative
15,The product arrived on time and is fantastic,positive
16,The quality is awful,negative
17,The item arrived damaged and unusable,negative
18,"Amazing quality, I am very happy with this purchase",positive
19,This product is excellent and works perfectly,positive
20,The product arrived on time and is fantastic,positive
21,The quality is great and delivery was fast,positive
22,Excellent design and outstanding performance,positive
23,Extremely slow delivery and poor service,negative
24,I am unhappy with this purchase,negative
25,This product is excellent and works perfectly,positive
26,"Not worth the price, very disappointing",negative
27,The quality is great and delivery was fast,positive
28,The item is acceptable for the price,neutral
29,"It is okay, nothing special",neutral
30,The item is acceptable for the price,neutral
31,"Not worth the price, very disappointing",negative
32,The item arrived damaged and unusable,negative
33,Excellent design and outstanding performance,positive
34,"Bad experience, I will not buy again",negative
35,The quality is awful,negative
36,This is a wonderful product,positive
37,Delivery was normal and quality was fine,neutral
38,The product is neither great nor terrible,neutral
39,This product is excellent and works perfectly,positive
40,The product works as described,neutral
41,Delivery was normal and quality was fine,neutral
42,Very useful and better than expected,positive
43,The item is acceptable for the price,neutral
44,The item arrived damaged and unusable,negative
45,The product is terrible and stopped working,negative
46,This is a wonderful product,positive
47,"I love this product, highly recommended",positive
48,The quality is great and delivery was fast,positive
49,The product works as described,neutral
50,The product is terrible and stopped working,negative
51,Good value for money and easy to use,positive
52,The product arrived on time and is fantastic,positive
53,"I hate this product, waste of money",negative
54,Good value for money and easy to use,positive
55,Very poor quality and disappointing,negative
56,The product is neither great nor terrible,neutral
57,Very poor quality and disappointing,negative
58,I am unhappy with this purchase,negative
59,This is a wonderful product,positive
60,Delivery was normal and quality was fine,neutral
61,"Amazing quality, I am very happy with this purchase",positive
62,Not bad but could be better,neutral
63,"Bad experience, I will not buy again",negative
64,"Not worth the price, very disappointing",negative
65,Good value for money and easy to use,positive
66,An ordinary product with standard quality,neutral
67,"I hate this product, waste of money",negative
68,The product arrived on time and is fantastic,positive
69,"Not worth the price, very disappointing",negative
70,Completely satisfied with the purchase,positive
71,It has some good and bad features,neutral
72,"It is okay, nothing special",neutral
73,I am unhappy with this purchase,negative
74,I have mixed feelings about this item,neutral
75,The product is neither great nor terrible,neutral
76,Very poor quality and disappointing,negative
77,The quality is awful,negative
78,The quality is great and delivery was fast,positive
